DESeq2/LimmaVoom/EdgeR,DESeq2/EdgeR,DESeq2/LimmaVoom,EdgeR/LimmaVoom,DESeq2,LimmaVoom,EdgeR
,GP1BA,,,RN7SL47P,,DDIAS
,RP11-460I13.6,,,RNU6-1176P,,HSPA8P15
,COL13A1,,,CTC-265F19.2,,RP11-531H8.2
,AP000437.3,,,LINC00865,,RP11-545I5.3
,MT-ATP8,,,KCNQ1OT1,,RP11-79L9.2
,RP11-489E7.4,,,RPL9,,RSL24D1
,DLEU7,,,TMSB4XP4,,MYLK
,DDX10P1,,,RP11-373D23.3,,RPL41
,IGKV1D-39,,,RPS3AP34,,RPS29
,PPBP,,,KIF15,,RPL22L1
,BMS1P1,,,RPL41,,CACNB4
,RNU6-920P,,,PLEKHA5,,RNU7-181P
,CTD-2233K9.1,,,RPS29,,DST
,RPS15A,,,RPL22L1,,LDHB
,POLR2K,,,ZNF497,,RP11-563N4.1
,RP11-110J1.2,,,AC111200.7,,RPL7P1
,PTX3,,,IGF2BP2,,RP11-46I8.1
,RN7SL364P,,,RPL41P1,,RP11-104L21.2
,COX7C,,,RPL7P1,,HMGN1P15
,RP11-383G6.3,,,RPS27A,,RPL41P1
,PIPSL,,,RGPD3,,LINC01359
,HSP90AB4P,,,COL13A1,,LINC00865
,RP11-346C20.3,,,RP11-90B9.2,,ITGB5
,PDF,,,SCT,,PBX1
,RP11-14I17.2,,,IGKV1-5,,KHDC1
,RPL37P6,,,LINC01359,,MYL12BP1
,EEF1A1P11,,,RP11-127B20.3,,FIGNL2
,RNU6-407P,,,DLGAP5,,RP11-629O1.2
,FAXDC2,,,RSL24D1,,RP11-139H15.7
,WBSCR27,,,RP1-228H13.5,,RNU6-1176P
,RPL21P28,,,RP11-59C5.3,,BCAS1
,RP11-244J10.1,,,AP000437.3,,PLEKHA5
,RP11-670E13.6,,,AC005776.1,,CTDSPL
,RNU6-611P,,,RP11-107E5.3,,IGKV1-5
,,,,PIPSL,,C8orf88
,,,,RP11-562A8.1,,CTD-2517M22.17
,,,,CTD-2302E22.5,,NEIL3
,,,,DLEU7,,RN7SL47P
,,,,RPL39P36,,RP11-127B20.3
,,,,HMGN2P4,,RP11-59C5.3
,,,,GP1BA,,HLF
,,,,PLS1,,RP11-392O17.2
,,,,PTX3,,TMSB4XP4
,,,,RP11-489E7.4,,TPT1
,,,,RP11-873E20.1,,CTD-2165H16.3
,,,,MAGI3,,GPLD1
,,,,CFL2,,LL22NC03-2H8.5
,,,,RP11-466H18.1,,UBE2MP1
,,,,RP11-460I13.6,,ALMS1-IT1
,,,,RP11-426D19.1,,CTD-2302E22.5
,,,,IGKV1D-39,,RP11-90B9.2
,,,,BMS1P1,,RP3-473L9.4
,,,,CTDSPL,,ISCA1P1
,,,,RP11-383G6.3,,RP11-562A8.1
,,,,DDX10P1,,RP11-466H18.1
,,,,RN7SL364P,,IGF2BP2
,,,,GS1-44D20.1,,MYH10
,,,,MT-ATP8,,AC005776.1
,,,,TPT1,,PPBP
,,,,OXTR,,RP11-373D23.3
,,,,LRFN2,,SCT
,,,,COL24A1,,MT-ATP8
,,,,RPL13AP7,,CH17-437K3.1
,,,,RNU6-920P,,RP1-228H13.5
,,,,HSP90AB4P,,COX7C
,,,,RPL37P6,,CTC-265F19.2
,,,,SCARNA20,,POLR2K
,,,,SUN3,,RPS15A
,,,,RP11-346C20.3,,ZNF564
,,,,RP11-14I17.2,,RP11-460I13.6
,,,,FAXDC2,,AC111200.7
,,,,APBB2,,GP1BA
,,,,ABCC13,,RPL39P36
,,,,CTD-2233K9.1,,DDX10P1
,,,,PPBP,,RP11-110J1.2
,,,,RP11-110J1.2,,RPSAP36
,,,,RNU6-407P,,CTD-2233K9.1
,,,,RPS15A,,IL17RE
,,,,RP11-244J10.1,,RNU6-920P
,,,,WBSCR27,,RP11-489E7.4
,,,,EEF1A1P11,,IGKV1D-39
,,,,RPL21P28,,KIF15
,,,,PDF,,IGF1
,,,,PXDNL,,RP11-107E5.3
,,,,POLR2K,,DLEU7
,,,,RP11-670E13.6,,HSPA2
,,,,COX7C,,SRGAP1
,,,,RP11-737O24.3,,AP000437.3
,,,,AKAP3,,COL13A1
,,,,RNU6-611P,,FLT1
,,,,RP1-232L22__B.1,,IGHV3-13
,,,,EGR1,,RP11-1105G2.3
,,,,PF4V1,,PDF
,,,,UFSP1,,BMS1P1
,,,,NBEAL1,,SOX5
,,,,RP11-927P21.4,,ZNF497
,,,,CTD-2047H16.3,,RP11-378A13.2
,,,,RPL26,,RN7SL364P
,,,,OPHN1,,HSP90AB4P
,,,,MED6P1,,SNORA26
,,,,CTB-47B11.3,,ZNF132
,,,,RP11-1023L17.2,,WWTR1
